id,y
1,4
2,2
3,1
4,6
5,8
6,7
7,4
8,8
9,1
10,4
11,1
12,6
13,1
14,1
15,1
16,1
17,6
18,7
19,1
20,2
21,1
22,4
23,7
24,8
25,9
26,6
27,4
28,1
29,1
30,8
31,6
32,1
33,8
34,6
35,2
36,4
37,2
38,4
39,4
40,1
41,1
42,2
43,6
44,7
45,7
46,1
47,4
48,8
49,1
50,1
51,1
52,3
53,1
54,8
55,7
56,1
57,6
58,3
59,1
60,2
61,6
62,1
63,8
64,1
65,2
66,8
67,1
68,6
69,4
70,1
71,2
72,1
73,1
74,6
75,6
76,6
77,3
78,8
79,6
80,8
81,6
82,1
83,7
84,4
85,9
86,1
87,1
88,8
89,4
90,7
91,6
92,1
93,1
94,8
95,7
96,4
97,4
98,9
99,9
100,8
101,8
102,8
103,8
104,8
105,4
106,1
107,8
108,1
109,1
110,7
111,7
112,1
113,2
114,6
115,8
116,6
117,3
118,8
119,6
120,1
121,1
122,7
123,6
124,1
125,8
126,1
127,9
128,7
129,1
130,1
131,1
132,6
133,9
134,2
135,2
136,6
137,8
138,6
139,1
140,6
141,1
142,1
143,7
144,4
145,8
146,1
147,6
148,7
149,8
150,8
151,8
152,1
153,1
154,2
155,6
156,6
157,3
158,1
159,1
160,8
161,1
162,9
163,8
164,9
165,6
166,1
167,4
168,1
169,4
170,8
171,1
172,6
173,6
174,1
175,8
176,1
177,7
178,8
179,4
180,1
181,8
182,8
183,7
184,6
185,1
186,9
187,1
188,8
189,9
190,3
191,7
192,6
193,6
194,1
195,8
196,1
197,1
198,6
199,9
200,8
201,8
202,3
203,1
204,8
205,8
206,8
207,3
208,1
209,8
210,8
211,1
212,4
213,8
214,6
215,8
216,4
217,8
218,1
219,8
220,3
221,4
222,8
223,3
224,1
225,8
226,2
227,8
228,1
229,4
230,4
231,1
232,1
233,8
234,4
235,1
236,8
237,7
238,1
239,1
240,9
241,8
242,4
243,8
244,8
245,7
246,4
247,8
248,1
249,2
250,1
251,4
252,8
253,1
254,4
255,5
256,1
257,7
258,1
259,1
260,1
261,1
262,6
263,1
264,6
265,6
266,9
267,6
268,8
269,8
270,1
271,6
272,6
273,6
274,6
275,9
276,8
277,8
278,1
279,6
280,3
281,1
282,1
283,7
284,8
285,4
286,8
287,8
288,1
289,9
290,6
291,7
292,1
293,6
294,4
295,1
296,8
297,3
298,2
299,1
300,1
301,9
302,6
303,1
304,6
305,6
306,6
307,1
308,1
309,8
310,8
311,1
312,9
313,1
314,7
315,8
316,9
317,1
318,7
319,8
320,9
321,1
322,4
323,8
324,7
325,8
326,2
327,1
328,6
329,6
330,8
331,1
332,1
333,8
334,8
335,6
336,1
337,1
338,8
339,1
340,2
341,1
342,1
343,1
344,6
345,9
346,6
347,9
348,5
349,2
350,5
351,1
352,6
353,1
354,1
355,8
356,4
357,1
358,1
359,7
360,1
361,7
362,6
363,1
364,2
365,7
366,1
367,1
368,4
369,8
370,8
371,3
372,6
373,7
374,4
375,2
376,9
377,1
378,9
379,1
380,6
381,2
382,6
383,8
384,1
385,4
386,7
387,8
388,1
389,1
390,1
391,6
392,1
393,4
394,8
395,2
396,1
397,8
398,8
399,3
400,8
401,7
402,6
403,6
404,4
405,1
406,6
407,2
408,1
409,8
410,8
411,9
412,6
413,4
414,6
415,6
416,4
417,8
418,1
419,1
420,8
421,6
422,3
423,1
424,6
425,7
426,1
427,1
428,7
